Wed Nov 08 09:49:05 CET 2017 :  Beginning of Experiment f01_echam6_amip_T63
Wed Nov 08 09:49:05 CET 2017 :  1 19790101 f01_echam6_amip_T63  - start
Wed Nov 08 09:50:07 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 09:51:45 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 09:54:15 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 09:55:48 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 10:00:25 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 10:00:36 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 10:07:28 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 10:11:27 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 10:19:11 CET 2017 :  2 19410101 f01_echam6_amip_T63  - start
Wed Nov 08 13:33:51 CET 2017 :  2 19410101 f01_amip_T63_nud  - start
Wed Nov 08 13:39:31 CET 2017 :  2 19410101 f01_amip_T63_nud  - start
Fri Nov 10 16:48:34 CET 2017 :  2 19410101 f01_amip_T63_nud  - start
Fri Nov 10 16:55:49 CET 2017 :  2 19410101 f01_amip_T63_nud  - start
Fri Nov 10 16:55:56 CET 2017 :  2 19410101 f01_amip_T63_nud  - start
Fri Nov 10 17:25:48 CET 2017 :  2 19410101 f01_amip_T63_nud  - start
Fri Nov 10 17:26:05 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:27:18 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:27:30 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:32:33 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:34:18 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:35:11 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:35:27 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 17:46:05 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 19:59:23 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 20:23:46 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 20:24:08 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 23:44:34 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 23:45:24 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 23:45:39 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 23:47:33 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Fri Nov 10 23:48:07 CET 2017 :  2 19820101 f01_amip_T63_nud  - start
Mon Jan 22 09:44:56 CET 2018 :  2 19820101 f01_amip_T63_nud  - start
Mon Jan 22 09:50:07 CET 2018 :  2 19820101 f01_amip_T63_nud  - start
Mon Jan 22 10:52:05 CET 2018 :  2 19820101 f01_amip_T63_nud  - start
